2024-11-05 21:27:41,036 - Starting scraping of 2426 games
2024-11-05 21:27:41,185 - Game 718748 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718744 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718745 already scraped, skipping.
2024-11-05 21:27:41,185 - Game 718747 already scraped, skipping.
2024-11-05 21:27:41,186 - Game 718723 already scraped, skipping.
2024-11-05 21:27:41,186 - Game 718721 already scraped, skipping.
2024-11-05 21:27:41,186 - Game 718731 already scraped, skipping.
2024-11-05 21:27:41,186 - Game 718727 already scraped, skipping.
2024-11-05 21:27:41,186 - Game 718718 already scraped, skipping.
2024-11-05 21:27:41,187 - Game 718720 already scraped, skipping.
2024-11-05 21:27:41,187 - Game 718729 already scraped, skipping.
2024-11-05 21:27:41,187 - Game 718732 already scraped, skipping.
2024-11-05 21:27:41,187 - Game 718722 already scraped, skipping.
2024-11-05 21:27:41,187 - Game 718726 already scraped, skipping.
2024-11-05 21:27:41,187 - Game 718724 already scraped, skipping.
2024-11-05 21:27:41,188 - Game 718728 already scraped, skipping.
2024-11-05 21:27:41,188 - Game 718719 already scraped, skipping.
2024-11-05 21:27:41,188 - Game 718730 already scraped, skipping.
2024-11-05 21:27:41,188 - Game 718725 already scraped, skipping.
2024-11-05 21:27:41,188 - Game 718705 already scraped, skipping.
2024-11-05 21:27:41,189 - Game 718707 already scraped, skipping.
2024-11-05 21:27:41,189 - Game 718712 already scraped, skipping.
2024-11-05 21:27:41,189 - Game 718711 already scraped, skipping.
2024-11-05 21:27:41,189 - Game 718703 already scraped, skipping.
2024-11-05 21:27:41,189 - Game 718706 already scraped, skipping.
2024-11-05 21:27:41,189 - Game 718714 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718715 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718717 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718709 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718713 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718716 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718708 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718710 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718696 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718689 already scraped, skipping.
2024-11-05 21:27:41,190 - Game 718698 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718697 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718691 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718701 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718704 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718694 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718702 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718692 already scraped, skipping.
2024-11-05 21:27:41,191 - Game 718695 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718699 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718681 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718683 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718682 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718686 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718690 already scraped, skipping.
2024-11-05 21:27:41,192 - Game 718687 already scraped, skipping.
2024-11-05 21:27:41,193 - Game 718670 already scraped, skipping.
2024-11-05 21:27:41,193 - Game 718676 already scraped, skipping.
2024-11-05 21:27:41,193 - Game 718674 already scraped, skipping.
2024-11-05 21:27:41,193 - Game 718675 already scraped, skipping.
2024-11-05 21:27:41,193 - Game 718671 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718680 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718677 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718693 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718688 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718685 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718679 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718678 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718673 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718684 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718657 already scraped, skipping.
2024-11-05 21:27:41,194 - Game 718659 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718660 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718669 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718656 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718672 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718663 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718661 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718664 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718668 already scraped, skipping.
2024-11-05 21:27:41,195 - Game 718662 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718665 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718658 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718667 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718666 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718644 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718648 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718650 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718642 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718639 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718643 already scraped, skipping.
2024-11-05 21:27:41,196 - Game 718646 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718647 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718651 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718652 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718653 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718655 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718645 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718654 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718649 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718631 already scraped, skipping.
2024-11-05 21:27:41,197 - Game 718636 already scraped, skipping.
2024-11-05 21:28:56,578 - Game 718628 scraped successfully in 75.38 seconds
2024-11-05 21:28:57,588 - Game 718627 already scraped, skipping.
2024-11-05 21:29:11,536 - Game 718641 scraped successfully in 13.95 seconds
2024-11-05 21:29:26,900 - Game 718637 scraped successfully in 14.35 seconds
2024-11-05 21:29:40,522 - Game 718634 scraped successfully in 12.60 seconds
2024-11-05 21:29:53,074 - Game 718635 scraped successfully in 11.55 seconds
2024-11-05 21:30:06,026 - Game 718633 scraped successfully in 11.95 seconds
2024-11-05 21:30:18,249 - Game 718632 scraped successfully in 11.22 seconds
2024-11-05 21:30:31,507 - Game 718630 scraped successfully in 12.25 seconds
2024-11-05 21:30:46,164 - Game 718638 scraped successfully in 13.65 seconds
2024-11-05 21:31:02,328 - Game 718629 scraped successfully in 15.16 seconds
2024-11-05 21:31:19,715 - Game 718640 scraped successfully in 16.38 seconds
2024-11-05 21:31:35,253 - Game 718614 scraped successfully in 14.53 seconds
2024-11-05 21:31:51,106 - Game 718622 scraped successfully in 14.85 seconds
2024-11-05 21:33:07,445 - Game 718620 scraped successfully in 75.34 seconds
2024-11-05 21:34:28,814 - Game 718617 scraped successfully in 80.35 seconds
2024-11-05 21:34:46,152 - Game 718611 scraped successfully in 16.31 seconds
2024-11-05 21:35:03,899 - Game 718624 scraped successfully in 16.73 seconds
2024-11-05 21:35:19,705 - Game 718626 scraped successfully in 14.80 seconds
2024-11-05 21:35:33,126 - Game 718621 scraped successfully in 12.41 seconds
2024-11-05 21:35:50,699 - Game 718618 scraped successfully in 16.54 seconds
2024-11-05 21:36:06,354 - Game 718619 scraped successfully in 14.65 seconds
2024-11-05 21:36:25,762 - Game 718623 scraped successfully in 18.36 seconds
2024-11-05 21:36:55,309 - Game 718615 scraped successfully in 28.51 seconds
2024-11-05 21:37:15,042 - Game 718625 scraped successfully in 18.70 seconds
2024-11-05 21:37:30,795 - Game 718613 scraped successfully in 14.62 seconds
2024-11-05 21:37:49,699 - Game 718616 scraped successfully in 17.90 seconds
2024-11-05 21:39:03,642 - Game 718602 scraped successfully in 72.94 seconds
2024-11-05 21:39:15,049 - Game 718603 scraped successfully in 10.40 seconds
2024-11-05 21:39:23,856 - Game 718601 scraped successfully in 7.80 seconds
2024-11-05 21:39:32,930 - Game 718606 scraped successfully in 8.07 seconds
2024-11-05 21:39:47,291 - Game 718598 scraped successfully in 13.33 seconds
2024-11-05 21:40:04,558 - Game 718612 scraped successfully in 16.26 seconds
2024-11-05 21:40:21,859 - Game 718604 scraped successfully in 16.25 seconds
2024-11-05 21:40:38,497 - Game 718610 scraped successfully in 15.63 seconds
2024-11-05 21:40:49,958 - Game 718599 scraped successfully in 10.45 seconds
2024-11-05 21:40:59,317 - Game 718609 scraped successfully in 8.33 seconds
2024-11-05 21:41:09,132 - Game 718608 scraped successfully in 8.80 seconds
2024-11-05 21:41:18,436 - Game 718595 scraped successfully in 8.30 seconds
2024-11-05 21:41:29,214 - Game 718600 scraped successfully in 9.77 seconds
2024-11-05 21:41:39,171 - Game 718607 scraped successfully in 8.95 seconds
2024-11-05 21:41:55,055 - Game 718605 scraped successfully in 14.87 seconds
2024-11-05 21:42:14,814 - Game 718593 scraped successfully in 18.74 seconds
2024-11-05 21:42:28,208 - Game 718591 scraped successfully in 12.38 seconds
2024-11-05 21:42:44,681 - Game 718596 scraped successfully in 15.46 seconds
2024-11-05 21:43:02,309 - Game 718589 scraped successfully in 16.62 seconds
2024-11-05 21:43:17,769 - Game 718594 scraped successfully in 14.44 seconds
2024-11-05 21:43:30,358 - Game 718597 scraped successfully in 11.58 seconds
2024-11-05 21:43:41,766 - Game 718590 scraped successfully in 10.40 seconds
2024-11-05 21:43:51,850 - Game 718581 scraped successfully in 9.08 seconds
2024-11-05 21:44:03,324 - Game 718578 scraped successfully in 10.45 seconds
2024-11-05 21:44:14,053 - Game 718587 scraped successfully in 9.72 seconds
2024-11-05 21:44:27,322 - Game 718582 scraped successfully in 12.26 seconds
2024-11-05 21:44:43,429 - Game 718575 scraped successfully in 15.10 seconds
2024-11-05 21:44:58,707 - Game 718577 scraped successfully in 14.27 seconds
2024-11-05 21:45:13,688 - Game 718584 scraped successfully in 13.97 seconds
2024-11-05 21:45:28,535 - Game 718592 scraped successfully in 13.84 seconds
2024-11-05 21:45:44,317 - Game 718574 scraped successfully in 14.78 seconds
2024-11-05 21:45:59,709 - Game 718580 scraped successfully in 14.00 seconds
2024-11-05 21:46:15,200 - Game 718586 scraped successfully in 14.47 seconds
2024-11-05 21:46:28,530 - Game 718579 scraped successfully in 12.32 seconds
2024-11-05 21:47:43,375 - Game 718585 scraped successfully in 73.84 seconds
2024-11-05 21:47:59,447 - Game 718583 scraped successfully in 15.06 seconds
2024-11-05 21:48:14,280 - Game 718588 scraped successfully in 13.81 seconds
2024-11-05 21:48:26,196 - Game 718562 scraped successfully in 10.89 seconds
2024-11-05 21:48:41,717 - Game 718565 scraped successfully in 14.37 seconds
2024-11-05 21:49:01,737 - Game 718569 scraped successfully in 19.01 seconds
2024-11-05 21:49:15,935 - Game 718568 scraped successfully in 12.74 seconds
2024-11-05 21:49:26,679 - Game 718564 scraped successfully in 9.69 seconds
2024-11-05 21:49:39,129 - Game 718561 scraped successfully in 11.45 seconds
2024-11-05 21:50:00,107 - Game 718567 scraped successfully in 19.83 seconds
2024-11-05 21:51:03,228 - Game 718573 scraped successfully in 62.11 seconds
2024-11-05 21:52:28,822 - Game 718560 scraped successfully in 82.19 seconds
2024-11-05 21:52:48,437 - Game 718576 scraped successfully in 18.61 seconds
2024-11-05 21:53:03,926 - Game 718566 scraped successfully in 14.48 seconds
2024-11-05 21:53:17,496 - Game 718563 scraped successfully in 12.54 seconds
2024-11-05 21:53:30,737 - Game 718571 scraped successfully in 12.23 seconds
2024-11-05 21:53:44,153 - Game 718570 scraped successfully in 12.41 seconds
2024-11-05 21:53:56,632 - Game 718572 scraped successfully in 11.47 seconds
2024-11-05 21:54:09,764 - Game 718552 scraped successfully in 12.12 seconds
2024-11-05 21:54:23,262 - Game 718546 scraped successfully in 12.50 seconds
2024-11-05 21:54:35,664 - Game 718556 scraped successfully in 11.39 seconds
2024-11-05 21:54:49,503 - Game 718548 scraped successfully in 12.83 seconds
2024-11-05 21:55:02,755 - Game 718547 scraped successfully in 12.18 seconds
2024-11-05 21:55:17,199 - Game 718545 scraped successfully in 13.44 seconds
2024-11-05 21:55:31,891 - Game 718550 scraped successfully in 13.69 seconds
2024-11-05 21:55:45,130 - Game 718555 scraped successfully in 12.23 seconds
2024-11-05 21:55:57,596 - Game 718549 scraped successfully in 11.46 seconds
2024-11-05 21:56:10,944 - Game 718559 scraped successfully in 12.34 seconds
2024-11-05 21:56:28,149 - Game 718554 scraped successfully in 16.20 seconds
2024-11-05 21:56:42,632 - Game 718551 scraped successfully in 13.00 seconds
2024-11-05 21:56:57,393 - Game 718553 scraped successfully in 13.75 seconds
2024-11-05 21:57:10,550 - Game 718557 scraped successfully in 12.15 seconds
2024-11-05 21:57:40,909 - Game 718537 scraped successfully in 29.35 seconds
2024-11-05 21:58:51,465 - Game 718536 scraped successfully in 69.55 seconds
2024-11-05 21:59:04,260 - Game 718538 scraped successfully in 11.65 seconds
2024-11-05 21:59:21,944 - Game 718532 scraped successfully in 16.68 seconds
2024-11-05 21:59:39,070 - Game 718534 scraped successfully in 16.12 seconds
2024-11-05 22:00:54,562 - Game 718544 scraped successfully in 74.49 seconds
2024-11-05 22:01:10,826 - Game 718533 scraped successfully in 15.26 seconds
2024-11-05 22:01:28,968 - Game 718540 scraped successfully in 17.14 seconds
2024-11-05 22:01:46,143 - Game 718542 scraped successfully in 16.17 seconds
2024-11-05 22:02:04,978 - Game 718535 scraped successfully in 17.83 seconds
2024-11-05 22:02:20,630 - Game 718539 scraped successfully in 14.65 seconds
2024-11-05 22:02:36,118 - Game 718520 scraped successfully in 14.47 seconds
2024-11-05 22:02:51,014 - Game 718523 scraped successfully in 13.88 seconds
2024-11-05 22:03:05,660 - Game 718527 scraped successfully in 13.64 seconds
2024-11-05 22:03:18,447 - Game 718516 scraped successfully in 11.78 seconds
2024-11-05 22:03:34,114 - Game 718517 scraped successfully in 14.66 seconds
2024-11-05 22:03:48,377 - Game 718528 scraped successfully in 13.26 seconds
2024-11-05 22:04:00,836 - Game 718531 scraped successfully in 11.45 seconds
2024-11-05 22:04:15,115 - Game 718519 scraped successfully in 13.27 seconds
2024-11-05 22:04:30,649 - Game 718524 scraped successfully in 14.52 seconds
2024-11-05 22:05:46,218 - Game 718526 scraped successfully in 74.27 seconds
2024-11-05 22:06:03,867 - Game 718521 scraped successfully in 16.57 seconds
2024-11-05 22:06:23,843 - Game 718522 scraped successfully in 18.96 seconds
2024-11-05 22:06:42,544 - Game 718530 scraped successfully in 17.69 seconds
2024-11-05 22:06:59,803 - Game 718541 scraped successfully in 16.25 seconds
2024-11-05 22:07:19,240 - Game 718525 scraped successfully in 18.43 seconds
2024-11-05 22:07:37,931 - Game 718543 scraped successfully in 17.65 seconds
2024-11-05 22:07:56,900 - Game 718529 scraped successfully in 17.97 seconds
2024-11-05 22:08:20,300 - Game 718501 scraped successfully in 22.39 seconds
2024-11-05 22:08:42,128 - Game 718506 scraped successfully in 20.82 seconds
2024-11-05 22:08:59,431 - Game 718512 scraped successfully in 16.29 seconds
2024-11-05 22:09:16,305 - Game 718508 scraped successfully in 15.87 seconds
2024-11-05 22:09:32,446 - Game 718502 scraped successfully in 15.13 seconds
2024-11-05 22:09:48,543 - Game 718511 scraped successfully in 15.09 seconds
2024-11-05 22:10:03,590 - Game 718518 scraped successfully in 13.68 seconds
2024-11-05 22:10:19,756 - Game 718507 scraped successfully in 15.16 seconds
2024-11-05 22:10:35,933 - Game 718505 scraped successfully in 15.17 seconds
2024-11-05 22:10:53,444 - Game 718515 scraped successfully in 16.51 seconds
2024-11-05 22:11:12,382 - Game 718509 scraped successfully in 17.93 seconds
2024-11-05 22:11:29,785 - Game 718514 scraped successfully in 16.34 seconds
2024-11-05 22:11:47,217 - Game 718513 scraped successfully in 16.43 seconds
2024-11-05 22:12:01,737 - Game 718510 scraped successfully in 13.51 seconds
2024-11-05 22:12:15,379 - Game 718504 scraped successfully in 12.64 seconds
2024-11-05 22:12:28,794 - Game 718499 scraped successfully in 12.41 seconds
2024-11-05 22:12:42,320 - Game 718494 scraped successfully in 12.52 seconds
2024-11-05 22:12:58,108 - Game 718503 scraped successfully in 14.78 seconds
2024-11-05 22:14:09,513 - Game 718498 scraped successfully in 70.40 seconds
2024-11-05 22:14:20,501 - Game 718500 scraped successfully in 9.98 seconds
2024-11-05 22:14:35,696 - Game 718497 scraped successfully in 14.19 seconds
2024-11-05 22:14:52,685 - Game 718496 scraped successfully in 15.98 seconds
2024-11-05 22:15:07,602 - Game 718485 scraped successfully in 13.91 seconds
2024-11-05 22:15:26,084 - Game 718489 scraped successfully in 17.48 seconds
2024-11-05 22:15:45,162 - Game 718483 scraped successfully in 17.99 seconds
2024-11-05 22:16:05,585 - Game 718491 scraped successfully in 19.42 seconds
2024-11-05 22:16:24,111 - Game 718484 scraped successfully in 17.52 seconds
2024-11-05 22:16:44,154 - Game 718480 scraped successfully in 19.03 seconds
2024-11-05 22:17:04,811 - Game 718481 scraped successfully in 19.65 seconds
2024-11-05 22:17:25,822 - Game 718495 scraped successfully in 20.00 seconds
2024-11-05 22:17:46,153 - Game 718493 scraped successfully in 19.32 seconds
2024-11-05 22:18:04,771 - Game 718492 scraped successfully in 17.61 seconds
2024-11-05 22:18:25,203 - Game 718490 scraped successfully in 19.43 seconds
2024-11-05 22:18:44,539 - Game 718486 scraped successfully in 18.33 seconds
2024-11-05 22:19:04,007 - Game 718482 scraped successfully in 18.46 seconds
2024-11-05 22:19:25,266 - Game 718487 scraped successfully in 20.25 seconds
2024-11-05 22:19:45,508 - Game 718466 scraped successfully in 19.23 seconds
2024-11-05 22:20:05,315 - Game 718471 scraped successfully in 18.80 seconds
2024-11-05 22:20:27,626 - Game 718470 scraped successfully in 21.30 seconds
2024-11-05 22:20:49,343 - Game 718479 scraped successfully in 20.70 seconds
2024-11-05 22:21:11,055 - Game 718467 scraped successfully in 20.71 seconds
2024-11-05 22:21:33,545 - Game 718478 scraped successfully in 21.48 seconds
2024-11-05 22:21:55,921 - Game 718473 scraped successfully in 21.37 seconds
2024-11-05 22:22:18,162 - Game 718488 scraped successfully in 21.23 seconds
2024-11-05 22:22:39,763 - Game 718464 scraped successfully in 20.60 seconds
2024-11-05 22:22:59,437 - Game 718472 scraped successfully in 18.67 seconds
2024-11-05 22:23:19,519 - Game 718475 scraped successfully in 19.08 seconds
2024-11-05 22:23:39,365 - Game 718474 scraped successfully in 18.84 seconds
2024-11-05 22:23:59,162 - Game 718469 scraped successfully in 18.79 seconds
2024-11-05 22:24:18,924 - Game 718477 scraped successfully in 18.75 seconds
2024-11-05 22:24:38,966 - Game 718468 scraped successfully in 19.03 seconds
2024-11-05 22:24:58,878 - Game 718476 scraped successfully in 18.91 seconds
2024-11-05 22:25:20,516 - Game 718452 scraped successfully in 20.63 seconds
2024-11-05 22:25:40,918 - Game 718462 scraped successfully in 19.40 seconds
2024-11-05 22:26:03,944 - Game 718461 scraped successfully in 22.02 seconds
2024-11-05 22:26:23,937 - Game 718451 scraped successfully in 18.99 seconds
2024-11-05 22:26:40,105 - Game 718456 scraped successfully in 15.16 seconds
2024-11-05 22:26:53,123 - Game 718455 scraped successfully in 12.01 seconds
2024-11-05 22:27:05,772 - Game 718460 scraped successfully in 11.64 seconds
2024-11-05 22:27:18,182 - Game 718450 scraped successfully in 11.41 seconds
2024-11-05 22:27:31,531 - Game 718459 scraped successfully in 12.34 seconds
2024-11-05 22:27:48,831 - Game 718458 scraped successfully in 16.29 seconds
2024-11-05 22:28:05,222 - Game 718463 scraped successfully in 15.38 seconds
2024-11-05 22:28:21,354 - Game 718453 scraped successfully in 15.12 seconds
2024-11-05 22:28:37,195 - Game 718457 scraped successfully in 14.83 seconds
2024-11-05 22:28:52,213 - Game 718454 scraped successfully in 14.01 seconds
2024-11-05 22:29:06,978 - Game 718465 scraped successfully in 13.75 seconds
2024-11-05 22:29:23,286 - Game 718437 scraped successfully in 15.30 seconds
2024-11-05 22:29:38,553 - Game 718444 scraped successfully in 14.11 seconds
2024-11-05 22:29:57,201 - Game 718443 scraped successfully in 17.64 seconds
2024-11-05 22:30:16,082 - Game 718441 scraped successfully in 17.87 seconds
2024-11-05 22:30:34,915 - Game 718438 scraped successfully in 17.82 seconds
2024-11-05 22:30:52,258 - Game 718446 scraped successfully in 16.33 seconds
2024-11-05 22:31:11,603 - Game 718448 scraped successfully in 18.33 seconds
2024-11-05 22:31:31,752 - Game 718447 scraped successfully in 19.14 seconds
2024-11-05 22:31:50,474 - Game 718449 scraped successfully in 17.71 seconds
2024-11-05 22:32:07,250 - Game 718445 scraped successfully in 15.77 seconds
2024-11-05 22:32:24,445 - Game 718442 scraped successfully in 16.19 seconds
2024-11-05 22:32:41,918 - Game 718425 scraped successfully in 16.46 seconds
2024-11-05 22:33:04,090 - Game 718433 scraped successfully in 21.16 seconds
2024-11-05 22:33:26,014 - Game 718429 scraped successfully in 20.92 seconds
2024-11-05 22:34:53,407 - Game 718428 scraped successfully in 86.37 seconds
2024-11-05 22:35:09,651 - Game 718426 scraped successfully in 15.24 seconds
2024-11-05 22:35:26,654 - Game 718422 scraped successfully in 15.99 seconds
2024-11-05 22:35:39,454 - Game 718439 scraped successfully in 11.79 seconds
2024-11-05 22:35:54,113 - Game 718440 scraped successfully in 13.65 seconds
2024-11-05 22:36:08,321 - Game 718431 scraped successfully in 13.20 seconds
2024-11-05 22:36:21,515 - Game 718435 scraped successfully in 12.19 seconds
2024-11-05 22:36:33,621 - Game 718430 scraped successfully in 11.10 seconds
2024-11-05 22:36:47,237 - Game 718432 scraped successfully in 12.61 seconds
2024-11-05 22:36:59,077 - Game 718436 scraped successfully in 10.83 seconds
2024-11-05 22:37:12,020 - Game 718434 scraped successfully in 11.94 seconds
2024-11-05 22:37:24,312 - Game 718427 scraped successfully in 11.29 seconds
2024-11-05 22:37:40,387 - Game 718408 scraped successfully in 15.07 seconds
2024-11-05 22:37:58,650 - Game 718420 scraped successfully in 17.26 seconds
2024-11-05 22:38:12,079 - Game 718411 scraped successfully in 12.40 seconds
2024-11-05 22:38:24,469 - Game 718419 scraped successfully in 11.38 seconds
2024-11-05 22:38:37,907 - Game 718407 scraped successfully in 12.43 seconds
2024-11-05 22:38:51,071 - Game 718418 scraped successfully in 12.14 seconds
2024-11-05 22:39:04,792 - Game 718423 scraped successfully in 12.72 seconds
2024-11-05 22:39:21,626 - Game 718421 scraped successfully in 15.83 seconds
2024-11-05 22:40:31,630 - Game 718412 scraped successfully in 69.00 seconds
2024-11-05 22:40:41,551 - Game 718416 scraped successfully in 8.91 seconds
2024-11-05 22:40:50,117 - Game 718415 scraped successfully in 7.56 seconds
2024-11-05 22:41:03,038 - Game 718413 scraped successfully in 11.91 seconds
2024-11-05 22:42:19,743 - Game 718414 scraped successfully in 75.70 seconds
2024-11-05 22:42:38,707 - Game 718424 scraped successfully in 17.96 seconds
2024-11-05 22:42:57,165 - Game 718417 scraped successfully in 17.45 seconds
2024-11-05 22:43:17,428 - Game 718402 scraped successfully in 19.26 seconds
2024-11-05 22:43:36,298 - Game 718410 scraped successfully in 17.75 seconds
2024-11-05 22:43:50,591 - Game 718406 scraped successfully in 13.29 seconds
2024-11-05 22:44:05,011 - Game 718409 scraped successfully in 13.41 seconds
2024-11-05 22:44:19,554 - Game 718398 scraped successfully in 13.54 seconds
2024-11-05 22:44:32,581 - Game 718404 scraped successfully in 12.02 seconds
2024-11-05 22:45:53,423 - Game 718403 scraped successfully in 79.84 seconds
2024-11-05 22:46:12,991 - Game 718397 scraped successfully in 18.56 seconds
2024-11-05 22:46:34,096 - Game 718405 scraped successfully in 20.10 seconds
2024-11-05 22:46:46,880 - Game 718400 scraped successfully in 11.78 seconds
2024-11-05 22:47:00,949 - Game 718396 scraped successfully in 13.06 seconds
2024-11-05 22:47:15,544 - Game 718389 scraped successfully in 13.56 seconds
2024-11-05 22:47:33,123 - Game 718380 scraped successfully in 16.57 seconds
2024-11-05 22:47:51,676 - Game 718392 scraped successfully in 17.54 seconds
2024-11-05 22:48:11,298 - Game 718386 scraped successfully in 18.61 seconds
2024-11-05 22:48:30,627 - Game 718382 scraped successfully in 18.32 seconds
2024-11-05 22:48:49,238 - Game 718391 scraped successfully in 17.60 seconds
2024-11-05 22:49:09,462 - Game 718388 scraped successfully in 19.21 seconds
