game_date,game_pk,batter_per_game,home_team_name,away_team_name,home_team_won,is_top_of_inning,inning,bo_state_index,home_score_diff,home_batter_index,away_batter_index,home_batting_order_0,home_batting_order_1,home_batting_order_2,home_batting_order_3,home_batting_order_4,home_batting_order_5,home_batting_order_6,home_batting_order_7,home_batting_order_8,home_dh,home_lost_dh,home_pitcher,home_bullpen_0,home_bullpen_1,home_bullpen_2,home_bullpen_3,home_bullpen_4,home_bullpen_5,home_bullpen_6,home_bullpen_7,home_bullpen_8,home_bench_0,home_bench_1,home_bench_2,home_bench_3,away_batting_order_0,away_batting_order_1,away_batting_order_2,away_batting_order_3,away_batting_order_4,away_batting_order_5,away_batting_order_6,away_batting_order_7,away_batting_order_8,away_dh,away_lost_dh,away_pitcher,away_bullpen_0,away_bullpen_1,away_bullpen_2,away_bullpen_3,away_bullpen_4,away_bullpen_5,away_bullpen_6,away_bullpen_7,away_bullpen_8,away_bench_0,away_bench_1,away_bench_2,away_bench_3,home_pitcher_batters_faced,home_pitcher_can_be_subbed,away_pitcher_batters_faced,away_pitcher_can_be_subbed,node_type,home_bullpen_9,home_bullpen_10,home_bullpen_11,home_bullpen_12,home_bullpen_13,home_bullpen_14,home_bench_4,home_bench_5,away_bullpen_9,away_bullpen_10,away_bullpen_11,away_bullpen_12,away_bullpen_13,away_bullpen_14,away_bench_4,away_bench_5,terminal_value,action_taken
2023-07-29,717219,1,BAL,NYY,0,1,1,0,0,0,0,668939,683002,623993,656811,10,624428,669720,681297,602104,663624.0,False,669330.0,665152,657508,660261,608344,680570,672335,642585,666974,641329,622761,663630,676059,543510,650402,592450,10,519203,518934,643396,664056,683011,543309,519317.0,False,657376.0,622663,650633,656061,593334,607074,593974,641656,592454,605280,666163,641343,656185,641856,0,False,0,False,pitcher,502043,543056,-1,-1,-1,-1,-1,-1,676760,543037,598286,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717219,1,BAL,NYY,0,1,1,0,0,0,0,668939,683002,623993,656811,10,624428,669720,681297,602104,663624.0,False,669330.0,665152,657508,660261,608344,680570,672335,642585,666974,641329,622761,663630,676059,543510,650402,592450,10,519203,518934,643396,664056,683011,543309,519317.0,False,657376.0,622663,650633,656061,593334,607074,593974,641656,592454,605280,666163,641343,656185,641856,0,False,0,False,chance,502043,543056,-1,-1,-1,-1,-1,-1,676760,543037,598286,-1,-1,-1,-1,-1,,___-1
2023-07-28,717220,1,SF,BOS,0,1,1,0,0,0,0,10,624424,527038,573262,605204,672275,682641,689172,682617,592626.0,False,657277.0,502171,518397,640455,592426,676254,622072,643511,666808,596001,666165,669477,663698,664774,680776,10,457759,646240,594807,671213,657077,657136,644374,807799.0,False,676710.0,542947,570257,682175,572020,678394,445276,670174,657514,669684,622569,608701,624414,595751,0,False,0,False,batter,573124,548389,-1,-1,-1,-1,596103,-1,601713,455119,670167,-1,-1,-1,-1,-1,,play at bat
2023-07-28,717220,1,SF,BOS,0,1,1,0,0,0,0,10,624424,527038,573262,605204,672275,682641,689172,682617,592626.0,False,657277.0,502171,518397,640455,592426,676254,622072,643511,666808,596001,666165,669477,663698,664774,680776,10,457759,646240,594807,671213,657077,657136,644374,807799.0,False,676710.0,542947,570257,682175,572020,678394,445276,670174,657514,669684,622569,608701,624414,595751,0,False,0,False,pitcher,573124,548389,-1,-1,-1,-1,596103,-1,601713,455119,670167,-1,-1,-1,-1,-1,,play at bat
2023-07-28,717220,1,SF,BOS,0,1,1,0,0,0,0,10,624424,527038,573262,605204,672275,682641,689172,682617,592626.0,False,657277.0,502171,518397,640455,592426,676254,622072,643511,666808,596001,666165,669477,663698,664774,680776,10,457759,646240,594807,671213,657077,657136,644374,807799.0,False,676710.0,542947,570257,682175,572020,678394,445276,670174,657514,669684,622569,608701,624414,595751,0,False,0,False,chance,573124,548389,-1,-1,-1,-1,596103,-1,601713,455119,670167,-1,-1,-1,-1,-1,,___-1
2023-07-29,717221,1,SF,BOS,0,1,1,0,0,0,0,596103,527038,605204,672275,682641,10,682617,669477,573262,624424.0,False,676254.0,502171,518397,640455,592426,657277,622072,643511,666808,596001,666165,663698,592626,543063,680776,10,646240,671213,594807,657077,624414,657136,644374,457759.0,False,572020.0,542947,678394,445276,670174,657514,676710,669684,601713,661440,622569,608701,595751,807799,0,False,0,False,batter,573124,548389,-1,-1,-1,-1,664774,-1,455119,670167,-1,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717221,1,SF,BOS,0,1,1,0,0,0,0,596103,527038,605204,672275,682641,10,682617,669477,573262,624424.0,False,676254.0,502171,518397,640455,592426,657277,622072,643511,666808,596001,666165,663698,592626,543063,680776,10,646240,671213,594807,657077,624414,657136,644374,457759.0,False,572020.0,542947,678394,445276,670174,657514,676710,669684,601713,661440,622569,608701,595751,807799,0,False,0,False,pitcher,573124,548389,-1,-1,-1,-1,664774,-1,455119,670167,-1,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717221,1,SF,BOS,0,1,1,0,0,0,0,596103,527038,605204,672275,682641,10,682617,669477,573262,624424.0,False,676254.0,502171,518397,640455,592426,657277,622072,643511,666808,596001,666165,663698,592626,543063,680776,10,646240,671213,594807,657077,624414,657136,644374,457759.0,False,572020.0,542947,678394,445276,670174,657514,676710,669684,601713,661440,622569,608701,595751,807799,0,False,0,False,chance,573124,548389,-1,-1,-1,-1,664774,-1,455119,670167,-1,-1,-1,-1,-1,-1,,___-1
2023-07-29,717222,1,TOR,LAA,1,1,1,0,0,0,0,593160,666182,665489,656305,543807,10,672386,669289,595281,643376.0,False,666201.0,669952,605135,641835,592332,670950,621244,554340,657024,543351,662139,656669,624415,474832,650859,10,666160,621493,519058,642136,592669,500871,683021,660271.0,False,672282.0,571901,663776,681217,667755,519043,657097,642545,625643,608032,687263,663550,623205,595453,0,False,0,False,batter,663878,650893,-1,-1,-1,-1,-1,-1,608337,542881,-1,-1,-1,-1,-1,-1,,play at bat
2023-07-29,717222,1,TOR,LAA,1,1,1,0,0,0,0,593160,666182,665489,656305,543807,10,672386,669289,595281,643376.0,False,666201.0,669952,605135,641835,592332,670950,621244,554340,657024,543351,662139,656669,624415,474832,650859,10,666160,621493,519058,642136,592669,500871,683021,660271.0,False,672282.0,571901,663776,681217,667755,519043,657097,642545,625643,608032,687263,663550,623205,595453,0,False,0,False,pitcher,663878,650893,-1,-1,-1,-1,-1,-1,608337,542881,-1,-1,-1,-1,-1,-1,,play at bat
